ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2012,43.8,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2012,70.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2012,98.9,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2012,33.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2013,61,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2013,96.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2013,33.1,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2013,58.9,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2013,93.7,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2013,38.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2013,63.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2013,98.7,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2013,24.1,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2014,65.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2014,99.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2014,41,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2014,67.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2014,99.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2014,49.1,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2014,63.3,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2014,99.7,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2014,27.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2015,63.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2015,99.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2015,38.1,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2015,65.8,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2015,99.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2015,46.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2015,60.1,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2015,99.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2015,24.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2016,61.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2016,99.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2016,36.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2016,63.8,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2016,99.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2016,43.7,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2016,58.9,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2016,99.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2016,25.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2017,58.7,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2017,99.3,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2017,33.7,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2017,61.1,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2017,99.2,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2017,40.8,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2017,55.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2017,99.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2017,23.3,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2018,57.9,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2018,98.9,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2018,33.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2018,60.2,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2018,98.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2018,41.1,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2018,54.9,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2018,99.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2018,22.3,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2019,56.7,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2019,99.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2019,32.2,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2019,59,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2019,99,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2019,39.9,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2019,53.9,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2019,99.8,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2019,21.2,,,Repository: ILO-STATISTICS - Micro data processing
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2004,59.6,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2004,76.2,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2004,59.3,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2004,57.6,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2004,74.7,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2004,57.3,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2004,62.2,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2004,80.3,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2004,62.1,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2005,58,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2005,78.3,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2005,57.8,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2005,56.2,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2005,77.7,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2005,55.9,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2005,60.5,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2005,80,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2005,60.3,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2006,55.3,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2006,76.9,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2006,55,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2006,53.6,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2006,75.2,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2006,53.3,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2006,57.5,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2006,83.7,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Informal employment rate by sex and economic activity (%),ARG - LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2006,57.4,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
