"ISO3 Code","Country","ILO Region","ILO Subregion - Broad","ILO Subregion - Detailed","World Bank Income Group","Is ILO member?","Included in ILO estimates?"
"MDG","Madagascar","Africa","Sub-Saharan Africa","Eastern Africa","Low income","Yes","Yes"
"MWI","Malawi","Africa","Sub-Saharan Africa","Eastern Africa","Low income","Yes","Yes"
"MYS","Malaysia","Asia and the Pacific","South-Eastern Asia and the Pacific","South-Eastern Asia","Upper-middle income","Yes","Yes"
"MDV","Maldives","Asia and the Pacific","Southern Asia","Southern Asia","Upper-middle income","No","Yes"
"MLI","Mali","Africa","Sub-Saharan Africa","Western Africa","Low income","Yes","Yes"
"MLT","Malta","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","High income","Yes","Yes (*)"
"MHL","Marshall Islands","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Upper-middle income","No","No"
"MTQ","Martinique","Americas","Latin America and the Caribbean","Caribbean","High income","No","No"
"MRT","Mauritania","Africa","Sub-Saharan Africa","Western Africa","Lower-middle income","Yes","Yes"
"MUS","Mauritius","Africa","Sub-Saharan Africa","Eastern Africa","High income","Yes","Yes"
"MYT","Mayotte","Africa","Sub-Saharan Africa","Eastern Africa","Lower-middle income","No","No"
"MEX","Mexico","Americas","Latin America and the Caribbean","Central America","Upper-middle income","Yes","Yes"
"FSM","Micronesia, Federated States of","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Lower-middle income","No","No"
"MDA","Moldova, Republic of","Europe and Central Asia","Eastern Europe","Eastern Europe","Lower-middle income","Yes","Yes"
"MCO","Monaco","Europe and Central Asia","Northern, Southern and Western Europe","Western Europe","High income","No","No"
"MNG","Mongolia","Asia and the Pacific","Eastern Asia","Eastern Asia","Lower-middle income","Yes","Yes"
"MNE","Montenegro","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","Upper-middle income","Yes","Yes"
"MSR","Montserrat","Americas","Latin America and the Caribbean","Caribbean","Upper-middle income","No","No"
"MAR","Morocco","Africa","Northern Africa","Northern Africa","Lower-middle income","Yes","Yes"
"MOZ","Mozambique","Africa","Sub-Saharan Africa","Eastern Africa","Low income","Yes","Yes"
"MMR","Myanmar","Asia and the Pacific","South-Eastern Asia and the Pacific","South-Eastern Asia","Lower-middle income","Yes","Yes"
"NAM","Namibia","Africa","Sub-Saharan Africa","Southern Africa","Upper-middle income","Yes","Yes"
"NRU","Nauru","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","High income","No","No"
"NPL","Nepal","Asia and the Pacific","Southern Asia","Southern Asia","Lower-middle income","Yes","Yes"
"NLD","Netherlands","Europe and Central Asia","Northern, Southern and Western Europe","Western Europe","High income","Yes","Yes (*)"
"ANT","Netherlands Antilles","Americas","Latin America and the Caribbean","Caribbean","High income","No","No"
"NCL","New Caledonia","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","High income","No","Yes (*)"
"NZL","New Zealand","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","High income","Yes","Yes (*)"
"NIC","Nicaragua","Americas","Latin America and the Caribbean","Central America","Lower-middle income","Yes","Yes"
"NER","Niger","Africa","Sub-Saharan Africa","Western Africa","Low income","Yes","Yes"
"NGA","Nigeria","Africa","Sub-Saharan Africa","Western Africa","Lower-middle income","Yes","Yes"
"NIU","Niue","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","High income","No","No"
"NFK","Norfolk Island","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","High income","No","No"
"MNP","Northern Mariana Islands","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","High income","No","No"
"NOR","Norway","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","Yes","Yes (*)"
"PSE","Occupied Palestinian Territory","Arab States","Arab States","Arab States","Lower-middle income","No","Yes"
"OMN","Oman","Arab States","Arab States","Arab States","High income","Yes","Yes"
"PAK","Pakistan","Asia and the Pacific","Southern Asia","Southern Asia","Lower-middle income","Yes","Yes"
"PLW","Palau","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","High income","No","No"
"PAN","Panama","Americas","Latin America and the Caribbean","Central America","High income","Yes","Yes"
"PNG","Papua New Guinea","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Lower-middle income","Yes","Yes"
"PRY","Paraguay","Americas","Latin America and the Caribbean","South America","Upper-middle income","Yes","Yes"
"PER","Peru","Americas","Latin America and the Caribbean","South America","Upper-middle income","Yes","Yes"
"PHL","Philippines","Asia and the Pacific","South-Eastern Asia and the Pacific","South-Eastern Asia","Lower-middle income","Yes","Yes"
"POL","Poland","Europe and Central Asia","Eastern Europe","Eastern Europe","High income","Yes","Yes (*)"
"PRT","Portugal","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","High income","Yes","Yes (*)"
"PRI","Puerto Rico","Americas","Latin America and the Caribbean","Caribbean","High income","No","Yes"
"QAT","Qatar","Arab States","Arab States","Arab States","High income","Yes","Yes"
"ROU","Romania","Europe and Central Asia","Eastern Europe","Eastern Europe","High income","Yes","Yes (*)"
"RUS","Russian Federation","Europe and Central Asia","Eastern Europe","Eastern Europe","Upper-middle income","Yes","Yes"
"RWA","Rwanda","Africa","Sub-Saharan Africa","Eastern Africa","Low income","Yes","Yes"
"REU","R?union","Africa","Sub-Saharan Africa","Eastern Africa","High income","No","No"
"SHN","Saint Helena","Africa","Sub-Saharan Africa","Western Africa","Lower-middle income","No","No"
"KNA","Saint Kitts and Nevis","Americas","Latin America and the Caribbean","Caribbean","High income","Yes","No"
"LCA","Saint Lucia","Americas","Latin America and the Caribbean","Caribbean","Upper-middle income","Yes","Yes (*)"
"MAF","Saint Martin (French part)","Americas","Latin America and the Caribbean","Caribbean","High income","No","No"
"SPM","Saint Pierre and Miquelon","Americas","Northern America","Northern America","High income","No","No"
"VCT","Saint Vincent and the Grenadines","Americas","Latin America and the Caribbean","Caribbean","Upper-middle income","Yes","Yes (*)"
"WSM","Samoa","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Upper-middle income","No","Yes (*)"
"SMR","San Marino","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","High income","Yes","No"
"STP","Sao Tome and Principe","Africa","Sub-Saharan Africa","Central Africa","Lower-middle income","Yes","Yes (*)"
"SAU","Saudi Arabia","Arab States","Arab States","Arab States","High income","Yes","Yes"
"SEN","Senegal","Africa","Sub-Saharan Africa","Western Africa","Lower-middle income","Yes","Yes"
"SRB","Serbia","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","Upper-middle income","Yes","Yes"
"SYC","Seychelles","Africa","Sub-Saharan Africa","Eastern Africa","High income","Yes","No"
"SLE","Sierra Leone","Africa","Sub-Saharan Africa","Western Africa","Low income","Yes","Yes"
"SGP","Singapore","Asia and the Pacific","South-Eastern Asia and the Pacific","South-Eastern Asia","High income","Yes","Yes"
"SXM","Sint Maarten (Kingdom of the Netherlands)","Americas","Latin America and the Caribbean","Caribbean","High income","No","No"
"SVK","Slovakia","Europe and Central Asia","Eastern Europe","Eastern Europe","High income","Yes","Yes (*)"
"SVN","Slovenia","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","High income","Yes","Yes (*)"
"SLB","Solomon Islands","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Lower-middle income","Yes","Yes"
"SOM","Somalia","Africa","Sub-Saharan Africa","Eastern Africa","Low income","Yes","Yes"
"ZAF","South Africa","Africa","Sub-Saharan Africa","Southern Africa","Upper-middle income","Yes","Yes"
"SSD","South Sudan","Africa","Sub-Saharan Africa","Eastern Africa","Low income","Yes","Yes (*)"
"ESP","Spain","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","High income","Yes","Yes (*)"
"LKA","Sri Lanka","Asia and the Pacific","Southern Asia","Southern Asia","Lower-middle income","Yes","Yes"
"SDN","Sudan","Africa","Northern Africa","Northern Africa","Low income","Yes","Yes"
"SUR","Suriname","Americas","Latin America and the Caribbean","South America","Upper-middle income","Yes","Yes"
"SWZ","Eswatini","Africa","Sub-Saharan Africa","Southern Africa","Lower-middle income","Yes","Yes"
"SWE","Sweden","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","Yes","Yes (*)"
"CHE","Switzerland","Europe and Central Asia","Northern, Southern and Western Europe","Western Europe","High income","Yes","Yes (*)"
"SYR","Syrian Arab Republic","Arab States","Arab States","Arab States","Low income","Yes","Yes"
"TWN","Taiwan, China","Asia and the Pacific","Eastern Asia","Eastern Asia","High income","No","Yes"
"TJK","Tajikistan","Europe and Central Asia","Central and Western Asia","Central Asia","Low income","Yes","Yes"
"TZA","Tanzania, United Republic of","Africa","Sub-Saharan Africa","Eastern Africa","Lower-middle income","Yes","Yes"
"THA","Thailand","Asia and the Pacific","South-Eastern Asia and the Pacific","South-Eastern Asia","Upper-middle income","Yes","Yes"
"TLS","Timor-Leste","Asia and the Pacific","South-Eastern Asia and the Pacific","South-Eastern Asia","Lower-middle income","No","Yes"
"TGO","Togo","Africa","Sub-Saharan Africa","Western Africa","Low income","Yes","Yes"
"TKL","Tokelau","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Lower-middle income","No","No"
"TON","Tonga","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Upper-middle income","No","Yes (*)"
"TTO","Trinidad and Tobago","Americas","Latin America and the Caribbean","Caribbean","High income","Yes","Yes"
"TUN","Tunisia","Africa","Northern Africa","Northern Africa","Lower-middle income","Yes","Yes"
"TUR","Turkey","Europe and Central Asia","Central and Western Asia","Western Asia","Upper-middle income","Yes","Yes"
"TKM","Turkmenistan","Europe and Central Asia","Central and Western Asia","Central Asia","Upper-middle income","Yes","Yes"
"TCA","Turks and Caicos Islands","Americas","Latin America and the Caribbean","Caribbean","High income","No","No"
"TUV","Tuvalu","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Upper-middle income","No","No"
"UGA","Uganda","Africa","Sub-Saharan Africa","Eastern Africa","Low income","Yes","Yes"
"UKR","Ukraine","Europe and Central Asia","Eastern Europe","Eastern Europe","Lower-middle income","Yes","Yes"
"ARE","United Arab Emirates","Arab States","Arab States","Arab States","High income","Yes","Yes"
"GBR","United Kingdom","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","Yes","Yes (*)"
"USA","United States","Americas","Northern America","Northern America","High income","Yes","Yes (*)"
"VIR","United States Virgin Islands","Americas","Latin America and the Caribbean","Caribbean","High income","No","Yes (*)"
"URY","Uruguay","Americas","Latin America and the Caribbean","South America","High income","Yes","Yes"
"UZB","Uzbekistan","Europe and Central Asia","Central and Western Asia","Central Asia","Lower-middle income","Yes","Yes"
"VUT","Vanuatu","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Lower-middle income","No","Yes (*)"
"VEN","Venezuela, Bolivarian Republic of","Americas","Latin America and the Caribbean","South America","Upper-middle income","Yes","Yes"
"VNM","Viet Nam","Asia and the Pacific","South-Eastern Asia and the Pacific","South-Eastern Asia","Lower-middle income","Yes","Yes"
"WLF","Wallis and Futuna Islands","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","High income","No","No"
"ESH","Western Sahara","Africa","Northern Africa","Northern Africa","Lower-middle income","No","Yes (*)"
"YEM","Yemen","Arab States","Arab States","Arab States","Low income","Yes","Yes"
"ZMB","Zambia","Africa","Sub-Saharan Africa","Eastern Africa","Lower-middle income","Yes","Yes"
"ZWE","Zimbabwe","Africa","Sub-Saharan Africa","Eastern Africa","Lower-middle income","Yes","Yes"
